product_id,price,return_rate,seller_id
p201,49.99,0.12,s501
p202,89.99,0.08,s502
p203,29.99,0.42,s503
p204,149.99,0.15,s504
p205,199.99,0.03,s505
p206,59.99,0.11,s506
p207,129.99,0.09,s507
p208,24.99,0.18,s503
p209,299.99,0.05,s508
p210,39.99,0.24,s503
p211,179.99,0.07,s509
p212,69.99,0.13,s510
p213,89.99,0.33,s503
p214,219.99,0.04,s511
p215,34.99,0.27,s503
p216,159.99,0.06,s512
p217,49.99,0.15,s513
p218,269.99,0.02,s514
p219,39.99,0.19,s503
p220,99.99,0.13,s515
p221,189.99,0.08,s516
p222,29.99,0.25,s503
p223,149.99,0.10,s517
p224,59.99,0.17,s518
p225,279.99,0.03,s519
p226,44.99,0.26,s503
p227,109.99,0.15,s520
p228,199.99,0.09,s521
p229,39.99,0.31,s503
p230,89.99,0.13,s522
p231,149.99,0.18,s523
p232,299.99,0.04,s524
p233,24.99,0.35,s503
p234,79.99,0.14,s525
p235,169.99,0.10,s526
p236,59.99,0.21,s503
p237,119.99,0.16,s527
p238,209.99,0.07,s528
p239,34.99,0.28,s503
p240,99.99,0.12,s529
p241,189.99,0.19,s530
p242,49.99,0.32,s503
p243,139.99,0.11,s531
p244,69.99,0.17,s532
p245,259.99,0.05,s533
p246,29.99,0.36,s503
p247,109.99,0.15,s534
p248,179.99,0.09,s535
p249,39.99,0.24,s503
p250,89.99,0.13,s536
p251,149.99,0.20,s537
p252,229.99,0.06,s538
p253,54.99,0.33,s503
p254,129.99,0.14,s539
p255,199.99,0.08,s540
p256,44.99,0.25,s503
p257,99.99,0.16,s541
p258,169.99,0.11,s542
p259,79.99,0.38,s503
p260,139.99,0.12,s543
p261,289.99,0.04,s544
p262,39.99,0.27,s503
p263,119.99,0.15,s545
p264,209.99,0.10,s546
p265,69.99,0.34,s503
p266,159.99,0.13,s547
p267,249.99,0.07,s548
p268,49.99,0.23,s503
p269,89.99,0.17,s549
p270,179.99,0.14,s550
p271,59.99,0.39,s503
p272,129.99,0.16,s551
p273,199.99,0.09,s552
p274,34.99,0.26,s503
p275,109.99,0.18,s553
p276,169.99,0.11,s554
p277,79.99,0.40,s503
p278,149.99,0.15,s555
p279,219.99,0.08,s556
p280,29.99,0.29,s503
p281,99.99,0.19,s557
p282,189.99,0.12,s558
p283,69.99,0.35,s503
p284,139.99,0.17,s559
p285,269.99,0.06,s560
p286,54.99,0.22,s503
p287,119.99,0.20,s561
p288,199.99,0.13,s562
p289,89.99,0.41,s503
p290,159.99,0.16,s563
p291,239.99,0.09,s564
p292,49.99,0.30,s503
p293,109.99,0.21,s565
p294,179.99,0.14,s566
p295,79.99,0.36,s503
p296,129.99,0.18,s567
p297,209.99,0.10,s568
p298,64.99,0.25,s503
p299,99.99,0.22,s569
p300,189.99,0.15,s570
p301,59.99,0.42,s503
p302,149.99,0.19,s571
p303,229.99,0.11,s572
p304,44.99,0.27,s503
p305,119.99,0.23,s573
p306,199.99,0.16,s574
p307,89.99,0.37,s503
p308,169.99,0.20,s575
p309,259.99,0.12,s576
p310,39.99,0.31,s503
p311,109.99,0.24,s577
p312,179.99,0.17,s578
p313,74.99,0.43,s503
p314,139.99,0.21,s579
p315,219.99,0.13,s580
p316,54.99,0.28,s503
p317,99.99,0.25,s581
p318,189.99,0.18,s582
p319,69.99,0.38,s503
p320,129.99,0.22,s583
p321,199.99,0.14,s584
p322,49.99,0.32,s503
p323,119.99,0.26,s585
p324,169.99,0.19,s586
p325,89.99,0.44,s503
p326,139.99,0.17,s587
p327,219.99,0.10,s588
p328,54.99,0.28,s503
p329,99.99,0.25,s589
p330,189.99,0.18,s590
p331,69.99,0.38,s503
p332,129.99,0.22,s591
p333,199.99,0.14,s592
p334,49.99,0.32,s503
p335,119.99,0.26,s593
p336,169.99,0.19,s594
p337,89.99,0.44,s503
p338,139.99,0.17,s595
p339,219.99,0.10,s596
p340,54.99,0.28,s503
p341,99.99,0.25,s597
p342,189.99,0.18,s598
p343,69.99,0.38,s503
p344,129.99,0.22,s599
p345,199.99,0.14,s600
p346,49.99,0.32,s503
p347,119.99,0.26,s501
p348,169.99,0.19,s502
p349,89.99,0.44,s503
p350,139.99,0.17,s504
p351,219.99,0.10,s505
p352,54.99,0.28,s503
p353,99.99,0.25,s506
p354,189.99,0.18,s507
p355,69.99,0.38,s503
p356,129.99,0.22,s508
p357,199.99,0.14,s509
p358,49.99,0.32,s503
p359,119.99,0.26,s510
p360,169.99,0.19,s511
p361,89.99,0.44,s503
p362,139.99,0.17,s512
p363,219.99,0.10,s513
p364,54.99,0.28,s503
p365,99.99,0.25,s514
p366,189.99,0.18,s515
p367,69.99,0.38,s503
p368,129.99,0.22,s516
p369,199.99,0.14,s517
p370,49.99,0.32,s503
p371,119.99,0.26,s518
p372,169.99,0.19,s519
p373,89.99,0.44,s503
p374,139.99,0.17,s520
p375,219.99,0.10,s521
p376,54.99,0.28,s503
p377,99.99,0.25,s522
p378,189.99,0.18,s523
p379,69.99,0.38,s503
p380,129.99,0.22,s524
p381,199.99,0.14,s525
p382,49.99,0.32,s503
p383,119.99,0.26,s526
p384,169.99,0.19,s527
p385,89.99,0.44,s503
p386,139.99,0.17,s528
p387,219.99,0.10,s529
p388,54.99,0.28,s503
p389,99.99,0.25,s530
p390,189.99,0.18,s531
p391,69.99,0.38,s503
p392,129.99,0.22,s532
p393,199.99,0.14,s533
p394,49.99,0.32,s503
p395,119.99,0.26,s534
p396,169.99,0.19,s535
p397,89.99,0.44,s503
p398,139.99,0.17,s536
p399,219.99,0.10,s537
p400,54.99,0.28,s503
p401,99.99,0.25,s538
p402,189.99,0.18,s539
p403,69.99,0.38,s503
p404,129.99,0.22,s540
p405,199.99,0.14,s541
p406,49.99,0.32,s503
p407,119.99,0.26,s542
p408,169.99,0.19,s543
p409,89.99,0.44,s503
p410,139.99,0.17,s544
p411,219.99,0.10,s545
p412,54.99,0.28,s503
p413,99.99,0.25,s546
p414,189.99,0.18,s547
p415,69.99,0.38,s503
p416,129.99,0.22,s548
p417,199.99,0.14,s549
p418,49.99,0.32,s503
p419,119.99,0.26,s550
p420,169.99,0.19,s551
p421,89.99,0.44,s503
p422,139.99,0.17,s552
p423,219.99,0.10,s553
p424,54.99,0.28,s503
p425,99.99,0.25,s554
p426,189.99,0.18,s555
p427,69.99,0.38,s503
p428,129.99,0.22,s556
p429,199.99,0.14,s557
p430,49.99,0.32,s503
p431,119.99,0.26,s558
p432,169.99,0.19,s559
p433,89.99,0.44,s503
p434,139.99,0.17,s560
p435,219.99,0.10,s561
p436,54.99,0.28,s503
p437,99.99,0.25,s562
p438,189.99,0.18,s563
p439,69.99,0.38,s503
p440,129.99,0.22,s564
p441,199.99,0.14,s565
p442,49.99,0.32,s503
p443,119.99,0.26,s566
p444,169.99,0.19,s567
p445,89.99,0.44,s503
p446,139.99,0.17,s568
p447,219.99,0.10,s569
p448,54.99,0.28,s503
p449,99.99,0.25,s570
p450,189.99,0.18,s571
p451,69.99,0.38,s503
p452,129.99,0.22,s572
p453,199.99,0.14,s573
p454,49.99,0.32,s503
p455,119.99,0.26,s574
p456,169.99,0.19,s575
p457,89.99,0.44,s503
p458,139.99,0.17,s576
p459,219.99,0.10,s577
p460,54.99,0.28,s503
p461,99.99,0.25,s578
p462,189.99,0.18,s579
p463,69.99,0.38,s503
p464,129.99,0.22,s580
p465,199.99,0.14,s581
p466,49.99,0.32,s503
p467,119.99,0.26,s582
p468,169.99,0.19,s583
p469,89.99,0.44,s503
p470,139.99,0.17,s584
p471,219.99,0.10,s585
p472,54.99,0.28,s503
p473,99.99,0.25,s586
p474,189.99,0.18,s587
p475,69.99,0.38,s503
p476,129.99,0.22,s588
p477,199.99,0.14,s589
p478,49.99,0.32,s503
p479,119.99,0.26,s590
p480,169.99,0.19,s591
p481,89.99,0.44,s503
p482,139.99,0.17,s592
p483,219.99,0.10,s593
p484,54.99,0.28,s503
p485,99.99,0.25,s594
p486,189.99,0.18,s595
p487,69.99,0.38,s503
p488,129.99,0.22,s596
p489,199.99,0.14,s597
p490,49.99,0.32,s503
p491,119.99,0.26,s598
p492,169.99,0.19,s599
p493,89.99,0.44,s503
p494,139.99,0.17,s600
p495,219.99,0.10,s501
p496,54.99,0.28,s503
p497,99.99,0.25,s502
p498,189.99,0.18,s503
p499,69.99,0.38,s504
p500,199.99,0.14,s505
p501,49.99,0.32,s503
p502,119.99,0.26,s506
p503,169.99,0.19,s507
p504,89.99,0.44,s503
p505,139.99,0.17,s508
p506,219.99,0.10,s509
p507,54.99,0.28,s503
p508,99.99,0.25,s510
p509,189.99,0.18,s511
p510,69.99,0.38,s503
p511,129.99,0.22,s512
p512,199.99,0.14,s513
p513,49.99,0.32,s503
p514,119.99,0.26,s514
p515,169.99,0.19,s515
p516,89.99,0.44,s503
p517,139.99,0.17,s516
p518,219.99,0.10,s517
p519,54.99,0.28,s503
p520,99.99,0.25,s518
p521,189.99,0.18,s519
p522,69.99,0.38,s503
p523,129.99,0.22,s520
p524,199.99,0.14,s521
p525,49.99,0.32,s503
p526,119.99,0.26,s522
p527,169.99,0.19,s523
p528,89.99,0.44,s503
p529,139.99,0.17,s524
p530,219.99,0.10,s525
p531,54.99,0.28,s503
p532,99.99,0.25,s526
p533,189.99,0.18,s527
p534,69.99,0.38,s503
p535,129.99,0.22,s528
p536,199.99,0.14,s529
p537,49.99,0.32,s503
p538,119.99,0.26,s530
p539,169.99,0.19,s531
p540,89.99,0.44,s503
p541,139.99,0.17,s532
p542,219.99,0.10,s533
p543,54.99,0.28,s503
p544,99.99,0.25,s534
p545,189.99,0.18,s535
p546,69.99,0.38,s503
p547,129.99,0.22,s536
p548,199.99,0.14,s537
p549,49.99,0.32,s503
p550,119.99,0.26,s538
p551,169.99,0.19,s539
p552,89.99,0.44,s503
p553,139.99,0.17,s540
p554,219.99,0.10,s541
p555,54.99,0.28,s503
p556,99.99,0.25,s542
p557,189.99,0.18,s543
p558,69.99,0.38,s503
p559,129.99,0.22,s544
p560,199.99,0.14,s545
p561,49.99,0.32,s503
p562,119.99,0.26,s546
p563,169.99,0.19,s547
p564,89.99,0.44,s503
p565,139.99,0.17,s548
p566,219.99,0.10,s549
p567,54.99,0.28,s503
p568,99.99,0.25,s550
p569,189.99,0.18,s551
p570,69.99,0.38,s503
p571,129.99,0.22,s552
p572,199.99,0.14,s553
p573,49.99,0.32,s503
p574,119.99,0.26,s554
p575,169.99,0.19,s555
p576,89.99,0.44,s503
p577,139.99,0.17,s556
p578,219.99,0.10,s557
p579,54.99,0.28,s503
p580,99.99,0.25,s558
p581,189.99,0.18,s559
p582,69.99,0.38,s503
p583,129.99,0.22,s560
p584,199.99,0.14,s561
p585,49.99,0.32,s503
p586,119.99,0.26,s562
p587,169.99,0.19,s563
p588,89.99,0.44,s503
p589,139.99,0.17,s564
p590,219.99,0.10,s565
p591,54.99,0.28,s503
p592,99.99,0.25,s566
p593,189.99,0.18,s567
p594,69.99,0.38,s503
p595,129.99,0.22,s568
p596,199.99,0.14,s569
p597,49.99,0.32,s503
p598,119.99,0.26,s570
p599,169.99,0.19,s571
p600,89.99,0.44,s503
p601,139.99,0.17,s572
p602,219.99,0.10,s573
p603,54.99,0.28,s503
p604,99.99,0.25,s574
p605,189.99,0.18,s575
p606,69.99,0.38,s503
p607,129.99,0.22,s576
p608,199.99,0.14,s577
p609,49.99,0.32,s503
p610,119.99,0.26,s578
p611,169.99,0.19,s579
p612,89.99,0.44,s503
p613,139.99,0.17,s580
p614,219.99,0.10,s581
p615,54.99,0.28,s503
p616,99.99,0.25,s582
p617,189.99,0.18,s583
p618,69.99,0.38,s503
p619,129.99,0.22,s584
p620,199.99,0.14,s585
p621,49.99,0.32,s503
p622,119.99,0.26,s586
p623,169.99,0.19,s587
p624,89.99,0.44,s503
p625,139.99,0.17,s588
p626,219.99,0.10,s589
p627,54.99,0.28,s503
p628,99.99,0.25,s590
p629,189.99,0.18,s591
p630,69.99,0.38,s503
p631,129.99,0.22,s592
p632,199.99,0.14,s593
p633,49.99,0.32,s503
p634,119.99,0.26,s594
p635,169.99,0.19,s595
p636,89.99,0.44,s503
p637,139.99,0.17,s596
p638,219.99,0.10,s597
p639,54.99,0.28,s503
p640,99.99,0.25,s598
p641,189.99,0.18,s599
p642,69.99,0.38,s503
p643,129.99,0.22,s600
p644,199.99,0.14,s501
p645,49.99,0.32,s503
p646,119.99,0.26,s502
p647,169.99,0.19,s503
p648,89.99,0.44,s504
p649,139.99,0.17,s505
p650,54.99,0.28,s503
p651,99.99,0.25,s506
p652,189.99,0.18,s507
p653,69.99,0.38,s503
p654,129.99,0.22,s508
p655,199.99,0.14,s509
p656,49.99,0.32,s503
p657,119.99,0.26,s510
p658,169.99,0.19,s511
p659,89.99,0.44,s503
p660,139.99,0.17,s512
p661,219.99,0.10,s513
p662,54.99,0.28,s503
p663,99.99,0.25,s514
p664,189.99,0.18,s515
p665,69.99,0.38,s503
p666,129.99,0.22,s516
p667,199.99,0.14,s517
p668,49.99,0.32,s503
p669,119.99,0.26,s518
p670,169.99,0.19,s519
p671,89.99,0.44,s503
p672,139.99,0.17,s520
p673,219.99,0.10,s521
p674,54.99,0.28,s503
p675,99.99,0.25,s522
p676,189.99,0.18,s523
p677,69.99,0.38,s503
p678,129.99,0.22,s524
p679,199.99,0.14,s525
p680,49.99,0.32,s503
p681,119.99,0.26,s526
p682,169.99,0.19,s527
p683,89.99,0.44,s503
p684,139.99,0.17,s528
p685,219.99,0.10,s529
p686,54.99,0.28,s503
p687,99.99,0.25,s530
p688,189.99,0.18,s531
p689,69.99,0.38,s503
p690,129.99,0.22,s532
p691,199.99,0.14,s533
p692,49.99,0.32,s503
p693,119.99,0.26,s534
p694,169.99,0.19,s535
p695,89.99,0.44,s503
p696,139.99,0.17,s536
p697,219.99,0.10,s537
p698,54.99,0.28,s503
p699,99.99,0.25,s538
p700,189.99,0.18,s539